sentence1,sentence2,label
a puffin should be able to fly .,a tufted puffin should be able climb trees,0
skunks produce an odor .,skunks produce a chemical called skunk spray,1
constipation is treated with laxatives .,fecal impactions can be treated with an antibiotic,0
a venomous snake has the ability to inject venom via its fangs .,a venomous snake has a powerful bite,0
Molluscs have been around for a very long time .,molluscs have been around a lot longer than humans,0
a will is used to transfer property to a beneficiary .,devises are used to transfer money,0
periodontal disease produces inflammation of the gums .,alveolar resorption produces cavities in the teeth,0
a painting should be placed on a flat surface .,a tempera painting should be placed on an easel,1
Stomachs are an important part of the body .,stomachs are an important part of digestive systems,1
a cake is made with a mixture .,a chiffon cake can be made with only a few ingredients,1
"a conflict is resolved through negotiation , mediation or arbitration .",a military conflict can be resolved through the use of military force,0
a household should be able to meet its basic needs .,a household should be able pay for food,1
energy is used to move .,energy is used to interact with the environment,0
